Losses,epoch,Train DA,tta_status,overlap,threshold,image_score,topo_score,surface_dice,voi_score,voi_split,voi_merge,dt_c_time
resume_results_old.csv,resume,.csv,TTA,0.6,0.7,0.4660492138520429,0.099551359516144,0.7086226291378753,0.5376168165684098,1.1928024912233326,1.7189321033801372,2026-02-14 18:31:17.693500
CESoftDiceclDiceLoss_step3_1,Final,safe,TTA,0.5,0.4,0.5206924808858293,0.1485458938584838,0.8000497162164563,0.5603180344357843,1.132478732249167,1.509205234850609,2026-02-13 14:30:46.726809
CESoftDiceclDiceLoss_step3_1,Final,safe,TTA,0.5,0.5,0.5196699142943942,0.1458836463443775,0.8062475168468105,0.553480541413421,1.2423683097197191,1.4750673417971385,2026-02-13 15:13:09.736738
CESoftDiceclDiceLoss_step3_1,Final,safe,TTA,0.5,0.6,0.5130911853714624,0.136639489442832,0.80373234885059,0.5451229041168749,1.3192143338001234,1.4961919830187025,2026-02-13 15:56:50.919880
CESoftDiceclDiceLoss_step3_1,Final,safe,no_TTA,0.5,0.4,0.5126386739987284,0.129700103913725,0.7957653699266464,0.5577450381436704,1.0897672198530652,1.5781169661763532,2026-02-13 10:13:24.230249
CESoftDiceclDiceLoss_step3_1,Final,safe,no_TTA,0.5,0.5,0.5136747012818652,0.1318871195258309,0.8030249780881199,0.5515709231236395,1.1817787545061362,1.5533950711627782,2026-02-13 10:56:15.103828
CESoftDiceclDiceLoss_step3_1,Final,safe,no_TTA,0.5,0.6,0.5093008885018812,0.121396568739152,0.8065192279447698,0.5445719659984743,1.2732737007789257,1.543692261883806,2026-02-13 11:37:03.466691
BCE_Tversky,160,safe,TTA,0.5,0.4,0.5306103671909206,0.1628014462284045,0.8222548063792829,0.5542307173989999,1.2541108244279215,1.4583002045801674,2026-02-09 19:51:01.141543
BCE_Tversky,160,safe,TTA,0.5,0.5,0.5273721204266468,0.1655021414859565,0.8178005382643021,0.5471179702524402,1.350867650225182,1.4478115306275816,2026-02-10 00:01:20.887752
BCE_Tversky,160,safe,TTA,0.5,0.6,0.5162975857244502,0.1487156378950387,0.8029418441882883,0.5447235682572503,1.3473198725001023,1.4823442443959087,2026-02-10 04:06:23.162356
BCE_Tversky,160,safe,no_TTA,0.5,0.4,0.5216632057190682,0.135712266374983,0.8186951256281784,0.5554463766763162,1.166963529892711,1.5327185617261898,2026-02-09 07:51:59.225479
BCE_Tversky,160,safe,no_TTA,0.5,0.5,0.5194913889439812,0.1400986615568138,0.8172851307203205,0.5468914134994997,1.2963827433995074,1.5007704586739572,2026-02-09 09:24:09.670545
BCE_Tversky,160,safe,no_TTA,0.5,0.6,0.5117140287109196,0.1313177184362258,0.8073041038171549,0.5421779338401367,1.3439469137437388,1.514463351062771,2026-02-09 10:56:17.061860
BCE_DSC,80,safe,TTA,0.5,0.4,0.5327450070389622,0.1608496014141253,0.8348569044941332,0.5494006001193654,1.3595659939749742,1.4208060119017876,2026-02-07 08:27:07.714225
BCE_DSC,80,safe,TTA,0.5,0.5,0.5188148801202334,0.140052795049619,0.815593207020551,0.5466897689947281,1.329803424500928,1.484950857878666,2026-02-07 12:31:23.097544
BCE_DSC,80,safe,TTA,0.5,0.6,0.4984416703521316,0.1106000875096637,0.784622835236215,0.5446961479044494,1.2405656549503774,1.596615889707129,2026-02-07 17:24:21.094532
BCE_DSC,80,safe,no_TTA,0.5,0.4,0.5264426936198149,0.1437216877456006,0.8326896812683129,0.5482422824349286,1.3174392603279963,1.4771247629318438,2026-02-04 15:14:45.340866
BCE_DSC,80,safe,no_TTA,0.5,0.5,0.5160744946973489,0.130427181304293,0.8190262483854498,0.5436775810604385,1.3357664575200252,1.5134225095232203,2026-01-29 14:36:52.896699
BCE_DSC,80,safe,no_TTA,0.5,0.6,0.5022540365968673,0.1136395601834367,0.7961224417421561,0.5414837540916615,1.2904918261115752,1.583750763333838,2026-02-04 16:46:01.863697
CESoftDiceclDiceLoss_step2,Final,safe,TTA,0.5,0.4,0.5130374908190876,0.1743841743217968,0.7339704896314587,0.5823787632901082,0.8426208796874993,1.5862986334432223,2026-02-14 04:10:24.634665
CESoftDiceclDiceLoss_step2,Final,safe,TTA,0.5,0.5,0.5237075901532807,0.1889469397087266,0.7623326129145189,0.5720202677730887,0.95909612619313,1.571924810563638,2026-02-14 04:55:25.674762
CESoftDiceclDiceLoss_step2,Final,safe,TTA,0.5,0.6,0.5245471993326233,0.1819467843037501,0.7790522890250048,0.563699608236419,1.0534284559667115,1.5585168814267978,2026-02-14 05:38:32.626227
CESoftDiceclDiceLoss_step2,Final,safe,no_TTA,0.5,0.4,0.5047805043121484,0.1567159272832496,0.7265633527365587,0.5813387219125083,0.8021600174864955,1.6408407697634422,2026-02-11 01:47:38.918773
CESoftDiceclDiceLoss_step2,Final,safe,no_TTA,0.5,0.5,0.5097740056782756,0.164176226958694,0.7419477264064591,0.5738269524240192,0.8863146179117887,1.6313312048124788,2026-02-11 03:23:53.080731
CESoftDiceclDiceLoss_step2,Final,safe,no_TTA,0.5,0.6,0.5136867530821919,0.1680383400817166,0.7558498174404059,0.5677937570100995,0.9645435061255098,1.6127302149233096,2026-02-11 04:58:44.385640
CESoftDiceclDiceLoss_step2,model,safe,TTA,0.5,0.4,0.5323626391303309,0.177726794320741,0.80552637300258,0.5631724865234449,1.054056424263378,1.5557950808795185,2026-02-14 09:56:01.380807
CESoftDiceclDiceLoss_step2,model,safe,TTA,0.5,0.5,0.5308510043552003,0.1690975744461329,0.8174015717803848,0.5543748054235021,1.1870116404662516,1.5216722798257802,2026-02-14 10:37:21.469030
